INFO:root:Model and LoRA loaded.
INFO:root:Model and LoRA loaded.
INFO:root:Automatic SwanLab logging enabled, to disable set os.environ["SWANLAB_MODE"] = "disabled"
INFO:root:Model and LoRA loaded.
INFO:root:Automatic SwanLab logging enabled, to disable set os.environ["SWANLAB_MODE"] = "disabled"
INFO:__main__:Eval Metrics — Hits@1: 0.4103, Hits@3: 0.5055, Hits@10: 0.5594, MRR: 0.4618
INFO:root:Model and LoRA loaded.
INFO:root:Automatic SwanLab logging enabled, to disable set os.environ["SWANLAB_MODE"] = "disabled"
INFO:__main__:Eval Metrics — Hits@1: 0.4246, Hits@3: 0.5131, Hits@10: 0.5779, MRR: 0.4731
INFO:__main__:Eval Metrics — Hits@1: 0.4246, Hits@3: 0.5190, Hits@10: 0.5788, MRR: 0.4758
INFO:__main__:Eval Metrics — Hits@1: 0.4305, Hits@3: 0.5173, Hits@10: 0.5796, MRR: 0.4781
INFO:__main__:Eval Metrics — Hits@1: 0.4297, Hits@3: 0.5063, Hits@10: 0.5779, MRR: 0.4768
INFO:__main__:Eval Metrics — Hits@1: 0.4372, Hits@3: 0.5232, Hits@10: 0.5838, MRR: 0.4871
INFO:__main__:Eval Metrics — Hits@1: 0.4187, Hits@3: 0.5088, Hits@10: 0.5552, MRR: 0.4662
INFO:__main__:Eval Metrics — Hits@1: 0.4364, Hits@3: 0.5223, Hits@10: 0.5931, MRR: 0.4862
INFO:__main__:Eval Metrics — Hits@1: 0.4187, Hits@3: 0.4971, Hits@10: 0.5687, MRR: 0.4662
INFO:__main__:Eval Metrics — Hits@1: 0.4263, Hits@3: 0.5131, Hits@10: 0.5695, MRR: 0.4734
INFO:__main__:Eval Metrics — Hits@1: 0.4297, Hits@3: 0.5122, Hits@10: 0.5889, MRR: 0.4786
INFO:__main__:Eval Metrics — Hits@1: 0.4423, Hits@3: 0.5198, Hits@10: 0.5973, MRR: 0.4899
INFO:__main__:Eval Metrics — Hits@1: 0.4179, Hits@3: 0.5038, Hits@10: 0.5720, MRR: 0.4687
